Time;Temperature;Humidity;Pressure;Accel_x;Accel_y;Accel_z;Rot_x;Rot_y;Rot_z;Mag_x;Mag_y;Mag_z;
36565.00;20.23;46.42;100.74;-1.15;0.03;-0.24;-22.89;2.01;-3.54;33.00;38.00;-61.00;
36751.00;20.24;46.41;100.73;-1.73;0.49;0.38;-8.67;-5.07;1.83;35.00;32.00;-49.00;
36935.00;20.24;46.39;100.74;-0.95;-0.19;-0.23;-25.57;-1.28;4.09;38.00;31.00;-34.00;
37122.00;20.24;46.40;100.74;-0.95;-0.14;0.09;7.69;6.16;-1.71;39.00;36.00;-24.00;
37306.00;20.23;46.37;100.74;-0.97;-0.21;-0.29;-44.56;-7.14;6.10;44.00;32.00;-16.00;
37493.00;20.22;46.37;100.73;-0.96;-0.15;-0.09;11.23;5.00;-6.10;43.00;32.00;-30.00;
37679.00;20.23;46.37;100.74;-0.96;-0.14;-0.24;-8.06;-2.26;2.69;43.00;33.00;-19.00;
37865.00;20.22;46.35;100.73;-0.96;-0.07;-0.10;3.66;1.28;-4.27;43.00;32.00;-25.00;
38050.00;20.22;46.35;100.73;-0.96;-0.15;-0.21;-5.55;-1.10;4.52;44.00;33.00;-25.00;
38236.00;20.22;46.33;100.74;-0.96;-0.09;-0.16;3.30;0.49;-4.21;41.00;29.00;-22.00;
38421.00;20.22;46.33;100.74;-0.96;-0.15;-0.17;-1.16;0.18;1.71;41.00;31.00;-29.00;
38606.00;20.20;46.31;100.74;-0.96;-0.08;-0.18;0.55;0.18;-1.71;44.00;33.00;-25.00;
38791.00;20.20;46.31;100.73;-0.96;-0.17;-0.16;-0.06;-0.24;-0.61;42.00;31.00;-22.00;
38978.00;20.19;46.28;100.73;-0.96;-0.07;-0.16;0.49;1.16;0.06;41.00;31.00;-25.00;
39162.00;20.20;46.28;100.73;-0.96;-0.14;-0.17;-0.24;-0.37;-1.16;44.00;33.00;-27.00;
39349.00;20.19;46.28;100.73;-0.96;-0.12;-0.15;0.00;0.55;0.24;42.00;33.00;-20.00;
39533.00;20.19;46.26;100.73;-0.96;-0.12;-0.18;1.77;0.73;-2.26;46.00;34.00;-26.00;
39718.00;20.19;46.26;100.73;-0.96;-0.12;-0.15;-1.59;-0.18;1.22;42.00;31.00;-27.00;
39904.00;20.19;46.24;100.74;-0.96;-0.12;-0.16;0.67;0.55;-1.04;44.00;33.00;-26.00;
40089.00;20.19;46.24;100.73;-0.96;-0.11;-0.18;0.85;0.61;-0.92;41.00;34.00;-27.00;
